code,locality,start_date,end_date,chart_arboles,chart_platano,chart_pastos,chart_malezas,polen_arboles,polen_platano,polen_pastos,polen_malezas
4148,Las Condes,2023-02-02,2023-02-08,13,1,24,24,20,1,8,8
4147,Santiago,2023-02-09,2023-02-15,9,0,15,21,11,0,5,7
4146,Santiago,2023-01-29,2023-02-04,12,1,30,12,19,1,10,3
4145,Las Condes,2023-01-19,2023-01-25,15,1,18,12,24,1,6,3
4144,Santiago,2023-01-19,2023-01-25,18,1,15,15,29,1,5,5
4143,Las Condes,2023-01-12,2023-01-19,15,1,21,12,25,1,7,4
4142,Santiago,2023-01-12,2023-01-19,25,1,18,15,42,1,6,5
4141,Las Condes,2023-01-05,2023-01-11,14,1,21,24,24,1,7,8
4140,Santiago,2023-01-05,2023-01-11,10,1,30,15,22,1,10,5
4139,Las Condes,2022-12-29,2023-01-04,16,0,30,21,27,0,10,7
4138,Santiago,2022-12-29,2023-01-04,11,1,30,9,19,1,10,3
4137,Las Condes,2022-12-24,2022-12-30,30,0,15,21,40,0,5,7
4136,Santiago,2022-12-24,2022-12-30,11,1,15,6,19,1,5,2
4135,Las Condes,2022-12-26,2022-12-30,30,1,15,21,40,1,5,7
4134,Santiago,2022-12-26,2022-12-29,12,1,44,13,20,1,17,5
4133,Las Condes,2022-12-19,2022-12-25,19,1,33,15,31,1,11,5
4132,Santiago,2022-12-19,2022-12-25,17,1,39,21,27,2,14,7
4131,Las Condes,2022-12-11,2022-12-18,20,1,45,15,35,2,17,5
4130,Santiago,2022-12-12,2022-12-18,23,0,45,21,38,0,17,7
4129,Las Condes,2022-12-05,2022-12-11,28,2,41,15,44,2,15,5
4128,Santiago,2022-12-05,2022-12-11,24,1,59,30,39,1,24,10
4127,Las Condes,2022-11-28,2022-12-04,30,1,40,29,41,1,12,8
4126,Santiago,2022-11-28,2022-12-04,35,1,55,35,50,1,20,10
4125,Las Condes,2022-11-21,2022-11-27,60,1,55,33,94,2,15,9
4124,Santiago,2022-11-21,2022-11-27,60,1,67,53,94,1,26,16
4123,Las Condes,2022-11-14,2022-11-20,79,2,77,35,198,5,31,10
4122,Santiago,2022-11-14,2022-11-20,77,5,66,57,194,7,25,18
4121,Las Condes,2022-11-07,2022-11-14,28,1,55,21,47,3,19,7
4120,Santiago,2022-11-07,2022-11-13,21,1,47,23,34,3,17,7
4119,Las Condes,2022-10-31,2022-11-06,47,5,70,25,76,9,26,8
